År;Kommun;Församling;Summa_inkl_kyrkoavgift;Summa_exkl_kyrkoavgift;Begravnings_avgift;Kyrkoavgift
2019;UPPLANDS VÄSBY;EDS FÖRSAMLING;32.638;31.753;0.253;0.885
2019;UPPLANDS VÄSBY;FRESTA FÖRSAMLING;32.548;31.753;0.253;0.795
2019;UPPLANDS VÄSBY;HAMMARBY FÖRSAMLING;32.588;31.753;0.253;0.835
2019;VALLENTUNA;VALLENTUNA FÖRSAMLING;32.168;31.333;0.253;0.835
2019;VALLENTUNA;ÖSSEBY FÖRSAMLING;32.473;31.333;0.253;1.14
2019;ÖSTERÅKER;LJUSTERÖ-KULLA FÖRSAMLING;30.168;29.433;0.253;0.735
2019;ÖSTERÅKER;ÖSTERÅKER-ÖSTRA RYDS FÖRSAMLING;30.168;29.433;0.253;0.735
2019;VÄRMDÖ;DJURÖ, MÖJA OCH NÄMDÖ FÖRSAMLING;32.678;31.513;0.253;1.165
2019;VÄRMDÖ;GUSTAVSBERG-INGARÖ FÖRSAMLING;32.288;31.513;0.253;0.775
2019;VÄRMDÖ;VÄRMDÖ FÖRSAMLING;32.378;31.513;0.253;0.865
2019;JÄRFÄLLA;JÄRFÄLLA FÖRSAMLING;32.168;31.483;0.253;0.685
2019;EKERÖ;ADELSÖ-MUNSÖ FÖRSAMLING;32.518;31.583;0.253;0.935
2019;EKERÖ;EKERÖ FÖRSAMLING;32.518;31.583;0.253;0.935
2019;EKERÖ;FÄRINGSÖ FÖRSAMLING;32.568;31.583;0.253;0.985
2019;EKERÖ;LOVÖ FÖRSAMLING;32.518;31.583;0.253;0.935
2019;HUDDINGE;FLEMINGSBERGS FÖRSAMLING;32.918;32.203;0.253;0.715
2019;HUDDINGE;HUDDINGE FÖRSAMLING;32.918;32.203;0.253;0.715
2019;HUDDINGE;S:T MIKAELS FÖRSAMLING;32.918;32.203;0.253;0.715
2019;HUDDINGE;TRÅNGSUND-SKOGÅS FÖRSAMLING;32.918;32.203;0.253;0.715
2019;BOTKYRKA;BOTKYRKA FÖRSAMLING;33.418;32.483;0.253;0.935
2019;BOTKYRKA;GRÖDINGE FÖRSAMLING;33.493;32.483;0.253;1.01
2019;SALEM;SALEMS FÖRSAMLING;32.842;32.003;0.253;0.839
2019;HANINGE;DALARÖ-ORNÖ-UTÖ FÖRSAMLING;32.858;32.013;0.253;0.845
2019;HANINGE;VÄSTERHANINGE-MUSKÖ FÖRSAMLING;32.858;32.013;0.253;0.845
2019;HANINGE;ÖSTERHANINGE FÖRSAMLING;32.858;32.013;0.253;0.845
2019;TYRESÖ;TYRESÖ FÖRSAMLING;33.098;32.283;0.253;0.815
2019;UPPLANDS-BRO;BRO FÖRSAMLING;32.873;31.933;0.253;0.94
2019;UPPLANDS-BRO;KUNGSÄNGEN-VÄSTRA RYDS FÖRSAMLING;32.813;31.933;0.253;0.88
2019;NYKVARN;TURINGE-TAXINGE FÖRSAMLING;33.373;32.303;0.253;1.07
2019;TÄBY;TÄBY FÖRSAMLING;30.658;29.883;0.253;0.775
2019;DANDERYD;DANDERYDS FÖRSAMLING;30.608;29.883;0.253;0.725
2019;SOLLENTUNA;SOLLENTUNA FÖRSAMLING;31.248;30.453;0.253;0.795
2019;STOCKHOLM;ADOLF FREDRIKS FÖRSAMLING;30.99;29.885;0.065;1.105
2019;STOCKHOLM;BROMMA FÖRSAMLING;30.54;29.885;0.065;0.655
2019;STOCKHOLM;BRÄNNKYRKA FÖRSAMLING;30.64;29.885;0.065;0.755
2019;STOCKHOLM;ENGELBREKTS FÖRSAMLING;30.67;29.885;0.065;0.785
2019;STOCKHOLM;ENSKEDE-ÅRSTA FÖRSAMLING;30.68;29.885;0.065;0.795
2019;STOCKHOLM;FARSTA FÖRSAMLING;30.75;29.885;0.065;0.865
2019;STOCKHOLM;FINSKA FÖRSAMLINGEN;30.82;29.885;0.065;0.935
2019;STOCKHOLM;GUSTAV VASA FÖRSAMLING;30.86;29.885;0.065;0.975
2019;STOCKHOLM;HEDVIG ELEONORA FÖRSAMLING;30.62;29.885;0.065;0.735
2019;STOCKHOLM;HOVFÖRSAMLINGEN;30.685;29.885;0.065;0.80
2019;STOCKHOLM;HÄGERSTENS FÖRSAMLING;30.545;29.885;0.065;0.66
2019;STOCKHOLM;HÄSSELBY FÖRSAMLING;30.57;29.885;0.065;0.685
2019;STOCKHOLM;HÖGALIDS FÖRSAMLING;30.75;29.885;0.065;0.865
2019;STOCKHOLM;KATARINA FÖRSAMLING;30.705;29.885;0.065;0.82
2019;STOCKHOLM;MARIA MAGDALENA FÖRSAMLING;30.75;29.885;0.065;0.865
2019;STOCKHOLM;OSCARS FÖRSAMLING;30.57;29.885;0.065;0.685
