År;Antal dgr;Tabellnr;Inkomst fr.o.m.;Inkomst t.o.m.;Kolumn 1
2019;30B;29;1;1600;0
2019;30B;29;1601;1700;117
2019;30B;29;1701;1800;128
2019;30B;29;1801;1900;138
2019;30B;29;1901;2000;149
2019;30B;29;2001;2100;159
2019;30B;29;2101;2200;162
2019;30B;29;2201;2300;172
2019;30B;29;2301;2400;183
2019;30B;29;2401;2500;193
2019;30B;29;2501;2600;204
2019;30B;29;2601;2700;214
2019;30B;29;2701;2800;225
2019;30B;29;2801;2900;227
2019;30B;29;2901;3000;237
2019;30B;29;3001;3100;248
2019;30B;29;3101;3200;258
2019;30B;29;3201;3300;269
2019;30B;29;3301;3400;279
2019;30B;29;3401;3500;281
2019;30B;29;3501;3600;292
2019;30B;29;3601;3700;302
2019;30B;29;3701;3800;313
2019;30B;29;3801;3900;323
2019;30B;29;3901;4000;333
2019;30B;29;4001;4100;335
2019;30B;29;4101;4200;345
2019;30B;29;4201;4300;355
2019;30B;29;4301;4400;365
2019;30B;29;4401;4500;375
2019;30B;29;4501;4600;385
2019;30B;29;4601;4700;387
2019;30B;29;4701;4800;397
2019;30B;29;4801;4900;407
2019;30B;29;4901;5000;417
2019;30B;29;5001;5100;427
2019;30B;29;5101;5200;437
2019;30B;29;5201;5300;447
2019;30B;29;5301;5400;449
2019;30B;29;5401;5500;459
2019;30B;29;5501;5600;469
2019;30B;29;5601;5700;479
2019;30B;29;5701;5800;498
2019;30B;29;5801;5900;518
2019;30B;29;5901;6000;538
2019;30B;29;6001;6100;558
2019;30B;29;6101;6200;579
2019;30B;29;6201;6300;599
2019;30B;29;6301;6400;619
2019;30B;29;6401;6500;639
2019;30B;29;6501;6600;659
2019;30B;29;6601;6700;679
2019;30B;29;6701;6800;699
2019;30B;29;6801;6900;719
2019;30B;29;6901;7000;739
2019;30B;29;7001;7100;759
2019;30B;29;7101;7200;779
2019;30B;29;7201;7300;800
2019;30B;29;7301;7400;820
2019;30B;29;7401;7500;840
2019;30B;29;7501;7600;860
2019;30B;29;7601;7700;880
2019;30B;29;7701;7800;900
2019;30B;29;7801;7900;920
2019;30B;29;7901;8000;940
2019;30B;29;8001;8100;960
2019;30B;29;8101;8200;980
2019;30B;29;8201;8300;1001
2019;30B;29;8301;8400;1021
2019;30B;29;8401;8500;1041
2019;30B;29;8501;8600;1061
2019;30B;29;8601;8700;1081
2019;30B;29;8701;8800;1101
2019;30B;29;8801;8900;1121
2019;30B;29;8901;9000;1141
2019;30B;29;9001;9100;1161
2019;30B;29;9101;9200;1181
2019;30B;29;9201;9300;1201
2019;30B;29;9301;9400;1221
2019;30B;29;9401;9500;1242
2019;30B;29;9501;9600;1262
2019;30B;29;9601;9700;1282
2019;30B;29;9701;9800;1302
2019;30B;29;9801;9900;1322
2019;30B;29;9901;10000;1342
2019;30B;29;10001;10100;1362
2019;30B;29;10101;10200;1382
2019;30B;29;10201;10300;1402
2019;30B;29;10301;10400;1422
2019;30B;29;10401;10500;1442
2019;30B;29;10501;10600;1463
2019;30B;29;10601;10700;1483
2019;30B;29;10701;10800;1504
2019;30B;29;10801;10900;1524
2019;30B;29;10901;11000;1545
2019;30B;29;11001;11100;1565
2019;30B;29;11101;11200;1586
2019;30B;29;11201;11300;1606
2019;30B;29;11301;11400;1627
